	Model	Extractor	F1 Score	Accuracy
7	NB	countvec	0.81 ± 0.11	0.82 ± 0.11
5	LR	countvec	0.82 ± 0.11	0.82 ± 0.10
0	LR	tfidf	0.80 ± 0.15	0.81 ± 0.13
15	BERT	none	0.79 ± 0.09	0.79 ± 0.07
2	NB	tfidf	0.77 ± 0.14	0.78 ± 0.13
1	RF	tfidf	0.71 ± 0.14	0.72 ± 0.14
4	MV	tfidf	0.71 ± 0.14	0.72 ± 0.14
6	RF	countvec	0.71 ± 0.14	0.72 ± 0.14
9	MV	countvec	0.71 ± 0.14	0.72 ± 0.14
3	KNN	tfidf	0.69 ± 0.18	0.70 ± 0.17
10	LR	handcrafted	0.55 ± 0.15	0.58 ± 0.13
11	RF	handcrafted	0.55 ± 0.14	0.57 ± 0.12
14	MV	handcrafted	0.55 ± 0.14	0.57 ± 0.12
12	NB	handcrafted	0.52 ± 0.15	0.52 ± 0.13
13	KNN	handcrafted	0.45 ± 0.16	0.46 ± 0.18
8	KNN	countvec	0.39 ± 0.17	0.45 ± 0.17
