	Model	Extractor	F1 Score	Accuracy
5	LR	countvec	0.52 ± 0.07	0.58 ± 0.06
7	NB	countvec	0.45 ± 0.08	0.52 ± 0.07
10	LR	handcrafted	0.44 ± 0.07	0.51 ± 0.06
11	RF	handcrafted	0.42 ± 0.07	0.51 ± 0.06
14	MV	handcrafted	0.42 ± 0.07	0.51 ± 0.06
0	LR	tfidf	0.39 ± 0.07	0.51 ± 0.06
1	RF	tfidf	0.39 ± 0.06	0.50 ± 0.05
4	MV	tfidf	0.39 ± 0.06	0.50 ± 0.05
13	KNN	handcrafted	0.39 ± 0.07	0.48 ± 0.07
2	NB	tfidf	0.34 ± 0.07	0.47 ± 0.06
6	RF	countvec	0.34 ± 0.07	0.47 ± 0.06
9	MV	countvec	0.34 ± 0.07	0.47 ± 0.06
12	NB	handcrafted	0.42 ± 0.06	0.46 ± 0.05
15	BERT	none	0.41 ± 0.21	0.42 ± 0.21
8	KNN	countvec	0.15 ± 0.07	0.13 ± 0.05
3	KNN	tfidf	0.07 ± 0.03	0.07 ± 0.03
